17	33	16	19	7	43	12	37	15	18	8	26	9	73	6	21	3	30	34	11	13	27	74	4	14	28	29	
25	7	13	17	6	57	15	12	35	19	65	3	4	5	10	9	67	60	8	33	36	66	11	45	34	70	71	
42	10	4	31	9	40	66	19	3	43	26	17	27	8	7	6	63	23	5	32	74	18	14	70	22	15	72	
11	18	10	7	14	17	9	146	5	12	24	6	13	38	33	16	43	32	30	8	48	3	39	42	27	4	54	
41	44	40	19	91	11	21	17	30	42	12	18	13	34	33	23	10	5	153	3	22	53	14	6	4	7	55	
49	27	4	19	17	26	47	3	56	28	18	57	21	10	9	15	35	8	5	23	54	92	11	41	6	42	7	
34	33	4	9	37	7	11	90	3	13	8	40	36	48	26	6	79	25	5	10	30	14	27	54	21	15	22	
7	6	12	25	42	5	11	47	23	111	30	24	41	66	65	137	4	19	10	26	34	3	50	20	17	21	18	
41	40	5	21	19	11	4	55	45	47	20	8	25	17	16	30	10	15	3	12	35	9	63	54	13	51	14	
52	21	18	12	76	28	35	5	10	19	13	11	14	15	3	30	24	27	53	29	6	23	4	25	7	26	8	
32	6	20	12	95	5	15	19	23	11	200	16	17	93	28	8	68	4	7	73	39	25	18	46	22	3	90	
3	26	46	41	10	25	39	17	55	43	86	40	64	128	9	12	8	6	4	11	18	44	21	7	5	14	164	
18	54	17	23	3	21	56	16	11	77	22	12	13	14	31	5	33	37	19	4	42	48	15	6	36	7	8	
11	10	26	31	9	20	55	29	25	27	21	30	59	5	4	13	3	41	12	48	56	22	6	82	89	23	24	
16	15	81	42	24	4	21	80	8	29	25	22	23	45	34	18	3	13	17	5	9	30	49	62	6	31	7	
5	15	4	61	14	30	7	3	93	12	60	19	13	75	35	27	29	41	6	31	26	17	36	28	92	40	56	
48	24	16	12	3	28	18	10	15	78	29	11	43	33	6	5	8	27	17	4	88	30	7	9	14	38	71	
67	4	28	3	102	24	38	8	21	14	11	9	101	107	34	6	16	33	5	25	22	15	35	7	26	20	31	
15	14	33	9	13	69	36	32	7	16	27	8	17	25	12	11	111	23	21	10	64	31	87	3	22	4	5	
92	10	17	80	66	9	24	16	42	18	79	156	73	14	13	12	20	3	11	31	25	19	15	4	32	5	6	
18	47	17	23	73	11	16	14	4	22	12	5	6	7	29	28	42	10	27	24	15	13	8	34	3	9	32	
92	9	58	3	8	27	55	21	64	59	4	22	7	18	17	11	31	16	10	25	40	107	20	12	78	13	14	
25	31	21	30	28	13	20	56	8	26	14	9	27	40	39	38	136	5	22	19	3	10	64	6	4	7	52	
46	21	29	4	20	69	28	11	44	30	5	3	19	32	9	8	68	24	22	7	27	13	10	25	23	41	42	
13	12	4	6	47	11	36	3	32	5	7	33	23	24	46	28	16	10	43	35	27	8	25	17	44	9	31	
3	30	14	16	60	105	10	13	8	4	75	11	5	65	59	53	34	58	46	17	9	12	6	35	40	7	37	
126	45	14	16	25	28	6	4	11	15	29	65	60	24	23	27	48	22	96	17	5	3	62	88	10	33	52	
59	3	24	70	32	19	5	23	14	29	102	8	9	31	54	16	11	35	4	20	6	97	10	12	34	13	43	
59	12	9	11	57	53	39	5	8	10	43	25	26	3	19	14	16	30	13	38	6	34	4	15	7	21	22	
30	9	6	8	102	44	11	5	20	7	3	12	13	14	76	91	43	33	10	88	21	4	15	34	19	38	68	
14	4	19	40	97	3	16	26	34	42	31	24	117	121	51	60	29	11	5	59	17	25	52	64	6	33	7	
17	16	30	4	35	8	19	114	29	3	5	20	110	122	34	10	7	76	18	9	68	6	65	11	28	66	72	
25	24	5	23	16	21	4	9	13	35	22	14	15	119	63	7	56	28	6	17	3	55	64	8	12	51	52	
28	27	36	43	11	8	38	4	21	31	9	5	10	15	14	13	7	62	37	12	19	6	3	60	20	34	125	
35	22	4	12	15	21	6	10	3	29	13	11	14	43	50	8	78	20	5	31	7	38	18	9	69	19	109	
77	94	41	4	16	24	6	30	134	3	17	83	61	15	14	28	11	9	42	5	7	18	21	10	8	22	36	
42	41	38	40	3	30	48	37	118	39	25	53	54	55	13	45	15	7	44	4	49	26	14	8	5	9	6	
18	3	17	44	60	10	67	6	16	4	45	32	24	25	13	12	38	9	84	11	7	5	14	30	8	15	28	
29	17	14	16	32	9	51	13	27	15	33	41	19	35	23	11	173	8	50	3	103	63	20	12	4	21	5	
92	7	39	19	6	3	12	10	17	8	4	13	5	24	34	46	64	33	45	20	11	9	15	47	101	16	37	
6	5	17	31	9	4	16	43	94	7	26	48	8	60	24	12	3	23	11	32	34	72	42	79	22	133	92	
105	73	52	72	19	148	54	43	6	61	81	44	45	46	18	21	17	15	53	20	7	56	23	16	8	24	3	
40	21	5	11	20	15	4	47	31	22	12	10	19	83	45	44	14	25	3	16	8	13	46	26	37	24	28	
42	53	9	71	18	29	8	59	6	54	30	34	3	13	12	11	49	16	10	19	7	31	4	50	24	5	25	
44	102	17	54	9	5	42	16	23	25	65	33	26	27	8	4	91	14	18	6	3	34	58	12	19	13	36	
79	47	19	21	5	31	105	53	8	20	32	51	3	4	25	14	44	24	40	6	9	52	36	15	7	16	11	
31	30	101	37	29	4	138	59	8	45	5	9	10	11	16	3	15	21	32	23	60	6	14	19	33	7	89	
39	19	9	24	18	22	8	12	6	10	23	13	14	15	66	21	54	63	20	28	7	11	3	30	73	4	5	
27	37	20	88	12	9	19	17	33	21	10	34	11	48	15	14	4	8	28	13	18	3	16	5	106	6	7	
23	22	17	38	9	12	97	16	51	28	37	43	44	45	8	11	7	5	18	10	3	29	58	6	4	30	31	
3	6	9	5	57	41	8	27	13	4	77	35	56	25	24	29	136	23	7	17	28	11	26	65	38	12	33	
124	32	15	119	31	12	4	27	8	29	53	9	30	37	78	17	11	25	16	13	3	10	38	18	6	19	7	
6	5	13	31	74	4	8	12	53	38	40	9	10	27	66	3	59	71	7	32	54	23	11	64	93	51	52	
125	26	11	22	6	90	13	63	10	27	7	3	4	5	31	30	16	56	12	29	35	8	44	17	65	9	19	
33	5	9	4	20	51	58	56	8	16	18	3	19	45	38	22	27	25	6	21	57	60	39	23	7	24	12	
80	19	8	21	33	18	58	13	7	20	29	14	41	53	11	4	31	17	3	57	44	15	12	5	36	6	37	
4	10	3	7	17	14	77	32	27	6	8	62	16	154	101	118	13	30	104	25	28	12	20	22	26	53	54	
18	17	26	16	65	14	20	11	44	3	15	83	4	5	9	13	8	34	19	24	12	32	7	35	42	33	43	
3	28	111	5	27	10	12	20	45	4	6	33	40	26	25	9	24	48	29	8	13	34	51	19	44	102	63	
19	29	18	28	22	47	42	4	17	20	36	27	21	75	7	6	58	85	45	23	5	31	8	3	50	9	10	
24	23	13	22	20	6	8	37	12	35	21	128	53	19	18	15	17	5	14	3	9	36	43	16	4	66	11	
